[INFO] 13:30:27:853 gameboy/(4273:4273): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444
[INFO] 13:44:22:251 gameboy/(4793:4793): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:254 gameboy/(4795:4795): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:263 gameboy/(4797:4797): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:264 gameboy/(4799:4799): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:266 gameboy/(4801:4801): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:271 gameboy/(4803:4803): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:282 gameboy/(4805:4805): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:294 gameboy/(4807:4807): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:300 gameboy/(4809:4809): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:932 gameboy/(4815:4815): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:934 gameboy/(4817:4817): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:936 gameboy/(4819:4819): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:938 gameboy/(4821:4821): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:945 gameboy/(4823:4823): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:951 gameboy/(4825:4825): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:958 gameboy/(4827:4827): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:967 gameboy/(4829:4829): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:973 gameboy/(4831:4831): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:975 gameboy/(4833:4833): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:983 gameboy/(4835:4835): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:22:991 gameboy/(4837:4837): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:500 gameboy/(4843:4843): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:502 gameboy/(4845:4845): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:511 gameboy/(4847:4847): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:522 gameboy/(4849:4849): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:534 gameboy/(4851:4851): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:546 gameboy/(4853:4853): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:554 gameboy/(4855:4855): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:558 gameboy/(4857:4857): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:560 gameboy/(4859:4859): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:562 gameboy/(4861:4861): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:563 gameboy/(4863:4863): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:23:569 gameboy/(4865:4865): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:68 gameboy/(4871:4871): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:70 gameboy/(4873:4873): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:72 gameboy/(4875:4875): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:85 gameboy/(4877:4877): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:88 gameboy/(4879:4879): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:90 gameboy/(4881:4881): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:97 gameboy/(4883:4883): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:99 gameboy/(4885:4885): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:106 gameboy/(4887:4887): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:115 gameboy/(4889:4889): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:117 gameboy/(4891:4891): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:120 gameboy/(4893:4893): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:604 gameboy/(4899:4899): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:607 gameboy/(4901:4901): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:608 gameboy/(4903:4903): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:611 gameboy/(4905:4905): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:613 gameboy/(4907:4907): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:614 gameboy/(4909:4909): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:616 gameboy/(4911:4911): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:618 gameboy/(4913:4913): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:620 gameboy/(4915:4915): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:637 gameboy/(4917:4917): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:639 gameboy/(4919:4919): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:24:642 gameboy/(4921:4921): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:137 gameboy/(4927:4927): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:139 gameboy/(4929:4929): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:143 gameboy/(4931:4931): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:146 gameboy/(4933:4933): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:151 gameboy/(4935:4935): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:153 gameboy/(4937:4937): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:162 gameboy/(4939:4939): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:164 gameboy/(4941:4941): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:177 gameboy/(4943:4943): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:179 gameboy/(4945:4945): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:190 gameboy/(4947:4947): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:194 gameboy/(4949:4949): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:620 gameboy/(4955:4955): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:622 gameboy/(4957:4957): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:624 gameboy/(4959:4959): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:626 gameboy/(4961:4961): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:628 gameboy/(4963:4963): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:630 gameboy/(4965:4965): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:635 gameboy/(4967:4967): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:641 gameboy/(4969:4969): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:646 gameboy/(4971:4971): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:666 gameboy/(4973:4973): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:668 gameboy/(4975:4975): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:25:670 gameboy/(4977:4977): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:142 gameboy/(4983:4983): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:155 gameboy/(4985:4985): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:172 gameboy/(4987:4987): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:173 gameboy/(4989:4989): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:177 gameboy/(4991:4991): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:188 gameboy/(4993:4993): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:203 gameboy/(4995:4995): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:205 gameboy/(4997:4997): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:208 gameboy/(4999:4999): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:210 gameboy/(5001:5001): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:219 gameboy/(5003:5003): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:227 gameboy/(5005:5005): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:636 gameboy/(5011:5011): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:639 gameboy/(5013:5013): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:641 gameboy/(5015:5015): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:644 gameboy/(5017:5017): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:648 gameboy/(5019:5019): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:650 gameboy/(5021:5021): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:657 gameboy/(5023:5023): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:659 gameboy/(5025:5025): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:662 gameboy/(5027:5027): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:664 gameboy/(5029:5029): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:669 gameboy/(5031:5031): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:26:671 gameboy/(5033:5033): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 13:44:41:274 gameboy/(5038:5038): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

